Año,ODS,Clave de metrópoli,Metrópoli,Índice,Ranking,Tipo de avance (flecha),Color del semáforo
2015,Índice general,00.0.00,Promedio,62.13726593,,,
2015,Índice general,01.1.01,ZM de Aguascalientes,64.70347932,8,,
2015,Índice general,02.1.01,Tijuana,63.69089676,14,,
2015,Índice general,02.2.02,Ensenada,60.23229239,29,,
2015,Índice general,02.2.03,Mexicali,66.3203346,3,,
2015,Índice general,03.2.01,La Paz,57.86272165,49,,
2015,Índice general,03.2.02,Los Cabos,56.39995172,52,,
2015,Índice general,04.2.01,Campeche,58.54605993,44,,
2015,Índice general,05.1.01,La Laguna,63.79130319,13,,
2015,Índice general,05.1.02,Monclova-Frontera,62.08384413,20,,
2015,Índice general,05.1.03,Piedras Negras,61.32825063,25,,
2015,Índice general,05.1.04,Saltillo,66.10698859,6,,
2015,Índice general,05.3.05,Sabinas,59.90609989,34,,
2015,Índice general,06.1.01,ZM de Colima-Villa de Álvarez,63.27677263,16,,
2015,Índice general,06.3.02,Tecomán,43.55210045,79,,
2015,Índice general,07.1.01,Tapachula,49.01613178,71,,
2015,Índice general,07.1.02,Tuxtla Gutiérrez,53.51570512,61,,
2015,Índice general,08.1.01,ZM de Chihuahua,65.98817182,7,,
2015,Índice general,08.1.02,Delicias,60.06986003,32,,
2015,Índice general,08.2.03,Juárez,64.40705095,9,,
2015,Índice general,09.1.01,ZM de la Ciudad de México,63.85245848,12,,
2015,Índice general,10.2.01,Metrópoli de Durango,63.55398375,15,,
2015,Índice general,11.1.01,Celaya,60.04226786,33,,
2015,Índice general,11.1.02,León,61.08464784,27,,
2015,Índice general,11.2.03,Metrópoli de Guanajuato,58.47330714,45,,
2015,Índice general,11.2.04,Irapuato,54.84383089,59,,
2015,Índice general,11.3.05,Moroleón-Uriangato,48.87799523,72,,
2015,Índice general,11.3.06,Silao,53.14948185,63,,
2015,Índice general,12.1.01,Chilpancingo,40.12376654,81,,
2015,Índice general,12.2.02,Acapulco,46.00643022,78,,
2015,Índice general,13.1.01,Pachuca,58.61297203,43,,
2015,Índice general,13.1.02,Tulancingo,47.7420029,75,,
2015,Índice general,14.1.01,Guadalajara,67.41030663,1,,
